N rate!,Plot,Code,B-gluc,Chit,Sulf,Phos,a-gluc,Xyl
0,1,5250,8.053728292,12.69355061,6.141326902,27.30555553,22.76571873,7.061929577
0,2,5251,10.80942919,13.14662348,7.790273793,41.29937755,27.25347271,8.171167131
0,3,5256,12.55931689,13.29064518,8.86052066,50.6385242,20.95285702,8.575352029
0,4,5257,13.02107662,14.11614176,9.690706293,44.57794967,18.61250919,9.757780526
0,5,5262,14.56999301,15.23916439,14.19640414,63.20412954,26.05087557,10.45363728
0,6,5263,20.24184582,23.72715777,26.45722984,84.5709862,35.2789055,14.71979983
200,1,5252,12.44372442,20.99983727,11.07422845,57.26024376,19.60979281,9.497056785
200,2,5258,18.93199204,18.43780418,17.7025608,83.23926738,31.65300442,13.94372379
200,3,5264,7.885158703,8.210767859,9.376496478,36.47911739,14.23784057,9.194845738
200,4,5268,14.369215,24.95961778,20.60179172,70.96310031,31.06520226,19.25358544
200,5,5272,49.33803626,45.37498289,26.38347982,59.78440456,36.0775095,14.09712727
200,6,5276,24.62955554,27.92831721,14.82754052,39.05483676,48.02032391,17.82586
300,1,5253,13.75214624,12.54737649,11.74214967,48.93430286,21.55386525,10.47200539
300,2,5259,13.949755,12.8377558,10.50492464,73.39200441,24.25672509,9.757391916
300,3,5265,16.49732975,16.27134094,17.53041018,79.05845376,25.93656129,20.64447783
300,4,5269,15.23933649,13.99729827,14.92589154,77.58710074,32.47435229,7.434788563
300,5,5273,50.67692416,19.18920368,25.07100738,54.2326064,33.58394513,16.58192311
300,6,5277,27.82043593,29.26222305,14.62758965,73.17958556,45.00491527,11.25125444
400,1,5254,9.194881647,9.047247525,8.056305544,55.11761248,17.19489422,6.983518874
400,2,5260,16.10634475,16.95357556,16.74914502,130.5326659,33.43173517,9.966291427
400,3,5266,14.54197087,15.32660549,18.33706704,139.0360157,37.38252572,19.3835815
400,4,5270,30.10223159,20.3307123,28.83768077,86.13195261,21.8459367,10.12346318
400,5,5274,42.06297943,34.33069501,17.40424458,321.3752511,34.85089716,12.59999225
400,6,5278,20.27646447,22.46728233,17.03466153,178.1416767,44.52255189,19.92500938
500,1,5255,15.17101293,10.67260901,8.705358596,66.36011171,20.38828861,7.067621288
500,2,5261,11.20224462,12.66367763,11.70441085,73.30762604,22.59705968,8.057324444
500,3,5267,12.80129272,11.7348242,16.66043958,86.16259428,32.83711433,17.00084727
500,4,5271,9.380867265,29.31857556,36.12139022,216.869231,42.92074087,15.49990185
500,5,5275,49.17037358,40.10281844,24.83866367,391.4195297,81.45960631,45.25237673
500,6,5279,14.36369623,17.27659623,13.96042851,336.3114634,53.65811822,13.26707044
