Plot,Ala,Arab,Arg,Asp,Cit,Fruc,Fum,GABA,Gala,Gluc,Lys,Mal,NADG,Oxa,Prot,Water
R0.1,0.573504759,1.146263798,0.268304668,0.684493715,5.272337463,0.945135785,0.996436463,0.509363993,0.844659071,1.14515054,0.517526968,3.251731391,0.565158825,2.962845032,2.900882196,0.396454853
R0.2,0.554443472,1.002517186,0.307072667,0.524446269,2.797681508,1.03780427,0.663739075,0.533432235,0.88148513,0.92860842,0.450291741,1.446202791,0.545681635,2.691535055,0.569344178,0.400168062
R0.3,0.434017302,0.834621572,0.275396458,0.540965068,6.365552355,0.890333975,0.543206735,0.436337795,0.795321834,1.009653792,0.404549669,2.149228638,0.503940704,2.618498943,0.467072139,0.356311419
R0.4,0.447888219,0.897136223,0.2830058,0.51667251,4.695912399,0.957954085,0.534870467,0.459138761,0.814298638,0.81488281,0.412486965,1.794991324,0.469763719,2.035403219,0.48874943,0.355771787
R0.5,0.556364161,1.456662775,0.266495679,0.655337471,7.242978909,1.37378859,0.527523596,0.522898415,1.235874737,1.186990439,0.437828712,2.516448435,0.632102149,3.413959729,0.480190789,0.39091866
R0.6,0.528162658,0.915674065,0.324828049,0.623464979,2.479318343,1.047621382,0.555975527,0.521365077,0.976378246,0.604516332,0.480130208,2.223846591,0.606241696,2.279194021,0.580924237,0.384019666
R1.1,0.51903552,0.828766107,0.269901792,0.50161688,3.089453038,0.837606534,0.729660079,0.572717986,0.72503007,0.91239016,0.443281569,1.430045153,0.586996505,2.716004338,0.447933701,0.356886304
R1.2,0.586355818,0.991374334,0.277739618,0.602100658,1.071576892,1.069909246,0.690462243,0.56212448,0.810663033,0.849149223,0.422728245,1.496673559,0.632210569,2.019712126,0.543657619,0.392393938
R1.3,0.453927086,0.617848719,0.276588049,0.489851169,4.523402321,0.686390878,0.501058222,0.475013561,0.727631228,0.707212562,0.389790507,1.453957432,0.462557211,1.734992234,0.353425741,0.344141574
R1.4,0.419603001,0.762493475,0.275007863,0.448876225,3.963546823,0.721823965,0.462623936,0.404626668,0.797320025,0.655359781,0.378301441,1.439212484,0.427988885,1.834600513,0.456841118,0.329462277
R1.5,0.416642371,0.418992264,0.261882615,0.425293764,3.990335642,0.829723524,0.481834679,0.42177019,0.380324243,0.579806641,0.374724886,1.234955169,0.454644843,2.039553293,0.395508231,0.324789822
R1.6,0.468477765,0.851822787,0.299407744,0.571544479,5.083302419,1.26218889,0.538106356,0.473534968,0.8197149,0.814749773,0.432026203,2.279523055,0.479254601,2.551907567,0.46863672,0.357477424
R2.1,0.490902439,0.812835823,0.268097572,0.524313491,3.235965753,0.73337341,0.550671998,0.457216924,0.67629901,0.685980291,0.41640934,1.299065178,0.496078599,2.989890941,0.485310893,0.351818091
R2.2,0.502584914,0.795316027,0.270759362,0.50150651,3.17653419,0.775160003,0.513846175,0.510425729,0.74148351,0.713330977,0.423252505,1.116374302,0.518952172,1.635437454,0.527109784,0.383187103
R2.3,0.420970377,0.754027787,0.27123251,0.508973915,4.886733016,0.812325422,0.617009085,0.422129705,0.821715823,0.678447946,0.396750948,2.31544195,0.432980901,2.155370277,0.421114741,0.336360572
R2.4,0.479803633,0.752711734,0.260326094,0.512071332,3.354665618,0.781804308,0.679722423,0.437815621,0.755921574,0.836280023,0.432731764,1.626260782,0.472097944,1.637550705,0.401183315,0.335816857
R2.5,0.512002575,0.847170842,0.263959895,0.484278595,4.369427624,0.940048591,0.559152585,0.433305355,0.813897461,0.418224257,0.401012876,1.673145834,0.51138161,2.269857654,0.409989758,0.353517719
R2.6,0.467156081,0.916179644,0.303154601,0.535222723,4.699475239,0.80171427,0.534548181,0.484778869,0.840035006,0.448486901,0.442850087,1.898982858,0.512157883,2.3338345,0.501643712,0.346308263
R3.1,0.594493737,0.960227253,0.27485611,0.678983546,3.987845382,1.286345942,0.645455983,0.548240936,0.893619265,1.207657282,0.455596728,1.651439227,0.642315913,2.344857806,0.523881667,0.379370273
R3.2,0.57059214,0.835114689,0.307087197,0.618150109,2.064192564,1.002103584,0.703838073,0.407475899,0.726186942,0.820690738,0.447135642,1.32110285,0.637156002,1.451401789,0.50858028,0.380954816
R3.3,0.439405068,0.687277617,0.261812133,0.465466042,3.494653413,0.764517404,0.453196386,0.429684481,0.651930589,0.69623168,0.364763577,1.558007019,0.488076457,2.459834978,0.459037038,0.342594587
R3.4,0.420721857,0.648361967,0.270228447,0.433299901,3.533792997,0.608246692,0.477067561,0.520428363,0.50927046,0.669457918,0.378236225,0.962801238,0.347030636,2.189436915,0.410393636,0.338431895
R3.5,0.448621842,0.825052486,0.267498968,0.493739556,4.27099303,0.772072652,0.521195017,0.47200704,0.816313953,0.765397718,0.412273053,2.047136315,0.485635422,2.430381916,0.487603376,0.353408228
R3.6,0.569384445,1.073980461,0.279263763,0.657557001,5.44061572,1.084164902,0.757106772,0.508296194,1.043358114,1.000460562,0.442257347,2.291196139,0.55567667,2.33204013,0.513791112,0.370161391
R4.1,0.478623087,0.82608158,0.266548691,0.556000485,3.058028406,0.892912089,0.584587435,0.499938452,0.669310297,0.844032079,0.446322522,1.437416063,0.477755193,2.096213085,0.466843826,0.359148623
R4.2,0.515690565,0.657714418,0.303313977,0.492026753,2.351347416,0.701096057,0.536467723,0.464604422,0.645530829,0.523654046,0.402188084,1.339533672,0.472403342,1.541144845,0.348996519,0.348465078
R4.3,0.488723139,0.823488246,0.288021497,0.49547629,3.297000406,0.899522679,0.486997233,0.452072047,0.79500362,0.627275382,0.444068983,1.696688074,0.50369725,2.09728298,0.496872887,0.35205594
R4.4,0.485441645,0.618475159,0.259441362,0.552001858,2.572597231,0.71632918,0.366111822,0.362781698,0.733987035,0.731953849,0.33723331,0.587644503,0.484997834,1.750462074,0.403807001,0.343515934
R4.5,0.4374422,0.86656375,0.316275867,0.511414332,4.779748994,0.873835283,0.622665989,0.45630353,0.753585737,0.815715973,0.419999281,1.893763823,0.462615812,2.309781244,0.483300141,0.359579993
R4.6,0.587869205,0.984497059,0.391566159,0.606788814,5.489538364,1.038624376,0.569393924,0.574878204,0.922166977,0.832205721,0.478467705,2.242308025,0.564462752,2.724485385,0.575861156,0.389673655
